date, desecupação
01/2019;12,0
02/2019;12,4
03/2019;12,7
04/2019;12,5
05/2019;12,3
06/2019;12,0
07/2019;11,8
08/2019;11,8
09/2019;11,8
10/2019;11,6
11/2019;11,2
12/2019;11,0
01/2020;11,2
02/2020;11,6
03/2020;12,2
04/2020;12,6
05/2020;12,9
06/2020;13,3
07/2020;13,8
08/2020;14,4
09/2020;14,6
