date,igpm_acc
2001-11-01,6.327426755
2001-11-05,6.366207681
2001-11-06,6.405002752
2001-11-07,6.443811973
2001-11-08,6.482635348
2001-11-09,6.521472884
2001-11-12,6.560324585
2001-11-13,6.599190457
2001-11-14,6.638070504
2001-11-16,6.676964731
2001-11-19,6.715873145
2001-11-20,6.75479575
2001-11-21,6.793732551
2001-11-22,6.832683554
2001-11-23,6.871648763
2001-11-26,6.910628184
2001-11-27,6.949621822
2001-11-28,6.988629683
2001-11-29,7.02765177
2001-11-30,7.06668809
2001-12-03,7.074531311
2001-12-04,7.082375106
2001-12-05,7.090219475
2001-12-06,7.098064419
2001-12-07,7.105909938
2001-12-10,7.113756032
2001-12-11,7.1216027
2001-12-12,7.129449943
2001-12-13,7.137297761
2001-12-14,7.145146154
2001-12-17,7.152995122
2001-12-18,7.160844664
2001-12-19,7.168694782
2001-12-20,7.176545475
2001-12-21,7.184396743
2001-12-25,7.192248586
2001-12-26,7.200101005
2001-12-27,7.207953998
2001-12-28,7.215807567
2002-01-02,7.22865113
2002-01-03,7.241496231
2002-01-04,7.254342872
2002-01-07,7.267191051
2002-01-08,7.280040769
2002-01-09,7.292892027
2002-01-10,7.305744824
2002-01-11,7.31859916
2002-01-14,7.331455037
2002-01-15,7.344312453
2002-01-16,7.35717141
2002-01-17,7.370031907
2002-01-18,7.382893945
2002-01-21,7.395757523
2002-01-22,7.408622643
2002-01-23,7.421489303
2002-01-24,7.434357505
2002-01-28,7.447227249
2002-01-29,7.460098534
2002-01-30,7.472971361
2002-01-31,7.48584573
2002-02-01,7.487994824
2002-02-04,7.49014396
2002-02-05,7.49229314
2002-02-06,7.494442363
2002-02-07,7.496591628
2002-02-08,7.498740937
2002-02-13,7.500890288
2002-02-14,7.503039683
2002-02-15,7.505189121
2002-02-18,7.507338601
2002-02-19,7.509488124
2002-02-20,7.511637691
2002-02-21,7.5137873
2002-02-22,7.515936953
2002-02-25,7.518086648
2002-02-26,7.520236387
2002-02-27,7.522386168
2002-02-28,7.524535992
2002-03-01,7.527760326
2002-03-04,7.530984756
2002-03-05,7.534209283
2002-03-06,7.537433907
2002-03-07,7.540658628
2002-03-08,7.543883445
2002-03-11,7.547108359
2002-03-12,7.550333369
2002-03-13,7.553558477
2002-03-14,7.556783681
2002-03-15,7.560008981
2002-03-18,7.563234379
2002-03-19,7.566459873
2002-03-20,7.569685464
2002-03-21,7.572911151
2002-03-22,7.576136936
2002-03-25,7.579362817
2002-03-26,7.582588795
2002-03-27,7.585814869
2002-03-28,7.58904104
2002-04-01,7.609070168
2002-04-02,7.629103024
2002-04-03,7.64913961
2002-04-04,7.669179926
2002-04-05,7.689223972
2002-04-08,7.70927175
2002-04-09,7.729323261
2002-04-10,7.749378504
2002-04-11,7.76943748
2002-04-12,7.789500191
2002-04-15,7.809566637
2002-04-16,7.829636818
2002-04-17,7.849710736
2002-04-18,7.869788391
2002-04-19,7.889869783
2002-04-22,7.909954914
2002-04-23,7.930043784
2002-04-24,7.950136394
2002-04-25,7.970232744
2002-04-26,7.990332836
2002-04-29,8.010436669
2002-04-30,8.030544245
2002-05-02,8.060313442
2002-05-03,8.090090841
2002-05-06,8.119876447
2002-05-07,8.14967026
2002-05-08,8.179472283
2002-05-09,8.209282518
2002-05-10,8.239100969
2002-05-13,8.268927636
2002-05-14,8.298762522
2002-05-15,8.328605629
2002-05-16,8.35845696
2002-05-17,8.388316517
2002-05-20,8.418184302
2002-05-21,8.448060318
2002-05-22,8.477944566
2002-05-23,8.50783705
2002-05-24,8.53773777
2002-05-27,8.567646731
2002-05-28,8.597563932
2002-05-29,8.627489378
2002-05-31,8.657423071
2002-06-03,8.712789522
2002-06-04,8.768184185
2002-06-05,8.823607074
2002-06-06,8.879058204
2002-06-07,8.934537589
2002-06-10,8.990045244
2002-06-11,9.045581183
2002-06-12,9.10114542
2002-06-13,9.15673797
2002-06-14,9.212358847
2002-06-17,9.268008065
2002-06-18,9.32368564
2002-06-19,9.379391586
2002-06-20,9.435125916
2002-06-21,9.490888646
2002-06-24,9.54667979
2002-06-25,9.602499362
2002-06-26,9.658347377
2002-06-27,9.714223849
2002-06-28,9.770128794
2002-07-01,9.840815372
2002-07-02,9.911547469
2002-07-03,9.982325115
2002-07-04,10.05314834
2002-07-05,10.12401717
2002-07-08,10.19493163
2002-07-10,10.26589176
2002-07-11,10.33689759
2002-07-12,10.40794914
2002-07-15,10.47904644
2002-07-16,10.55018953
2002-07-17,10.62137843
2002-07-18,10.69261317
2002-07-19,10.76389378
2002-07-22,10.8352203
2002-07-23,10.90659274
2002-07-24,10.97801115
2002-07-25,11.04947554
2002-07-26,11.12098596
2002-07-29,11.19254242
2002-07-30,11.26414497
2002-07-31,11.33579362
2002-08-01,11.42094227
2002-08-02,11.50615604
2002-08-05,11.59143498
2002-08-06,11.67677915
2002-08-07,11.76218858
2002-08-08,11.84766334
2002-08-09,11.93320346
2002-08-12,12.01880901
2002-08-13,12.10448002
2002-08-14,12.19021656
2002-08-15,12.27601867
2002-08-16,12.36188639
2002-08-19,12.44781979
2002-08-20,12.53381891
2002-08-21,12.6198838
2002-08-22,12.70601452
2002-08-23,12.7922111
2002-08-26,12.87847361
2002-08-27,12.96480209
2002-08-28,13.05119659
2002-08-29,13.13765717
2002-08-30,13.22418387
2002-09-02,13.31372874
2002-09-03,13.40334442
2002-09-04,13.49303099
2002-09-05,13.58278848
2002-09-06,13.67261695
2002-09-09,13.76251647
2002-09-10,13.85248709
2002-09-11,13.94252886
2002-09-12,14.03264184
2002-09-13,14.12282609
2002-09-16,14.21308166
2002-09-17,14.30340862
2002-09-18,14.393807
2002-09-19,14.48427689
2002-09-20,14.57481832
2002-09-23,14.66543135
2002-09-24,14.75611605
2002-09-25,14.84687247
2002-09-26,14.93770066
2002-09-27,15.02860069
2002-09-30,15.11957261
2002-10-01,15.26536759
2002-10-02,15.41134723
2002-10-03,15.55751173
2002-10-04,15.70386136
2002-10-07,15.85039632
2002-10-08,15.99711687
2002-10-09,16.14402324
2002-10-10,16.29111566
2002-10-11,16.43839436
2002-10-14,16.58585959
2002-10-15,16.73351158
2002-10-16,16.88135056
2002-10-17,17.02937678
2002-10-18,17.17759047
2002-10-21,17.32599186
2002-10-22,17.4745812
2002-10-23,17.62335873
2002-10-24,17.77232467
2002-10-25,17.92147928
2002-10-28,18.07082278
2002-10-29,18.22035543
2002-10-30,18.37007745
2002-10-31,18.51998909
2002-11-01,18.72005378
2002-11-04,18.92045618
2002-11-05,19.12119687
2002-11-06,19.32227641
2002-11-07,19.52369538
2002-11-08,19.72545435
2002-11-11,19.9275539
2002-11-12,20.12999459
2002-11-13,20.33277701
2002-11-14,20.53590173
2002-11-18,20.73936933
2002-11-19,20.94318039
2002-11-20,21.14733548
2002-11-21,21.3518352
2002-11-22,21.55668011
2002-11-25,21.76187081
2002-11-26,21.96740788
2002-11-27,22.1732919
2002-11-28,22.37952345
2002-11-29,22.58610313
2002-12-02,22.73662485
