Data,Abertura
01.12.2020,12387.96
30.11.2020,12278.78
27.11.2020,12220.37
25.11.2020,12112.11
24.11.2020,11952.7
23.11.2020,11959.89
20.11.2020,11976
19.11.2020,11863.12
18.11.2020,11963.36
17.11.2020,12030.27
16.11.2020,11925.36
13.11.2020,11910.62
12.11.2020,11924.15
11.11.2020,11734.82
